,sofifa_id,club_15,overall_15,passing_15,defending_15,pace_15,shooting_15,physic_15,club_16,overall_16,passing_16,defending_16,pace_16,shooting_16,physic_16,club_17,overall_17,passing_17,defending_17,pace_17,shooting_17,physic_17,club_18,overall_18,passing_18,defending_18,pace_18,shooting_18,physic_18,club_19,overall_19,passing_19,defending_19,pace_19,shooting_19,physic_19,club_20,overall_20,passing_20,defending_20,pace_20,shooting_20,physic_20
0,158023,FC Barcelona,93.0,86.0,27.0,93.0,89.0,63.0,FC Barcelona,94.0,86.0,24.0,92.0,88.0,62.0,FC Barcelona,93.0,86.0,26.0,89.0,90.0,61.0,FC Barcelona,93.0,86.0,26.0,89.0,90.0,61.0,FC Barcelona,94.0,88.0,32.0,88.0,91.0,61.0,FC Barcelona,94.0,92.0,39.0,87.0,92.0,66.0
1,20801,Real Madrid,92.0,81.0,32.0,93.0,93.0,79.0,Real Madrid,93.0,80.0,33.0,92.0,93.0,78.0,Real Madrid,94.0,81.0,33.0,92.0,92.0,80.0,Real Madrid,94.0,82.0,33.0,90.0,93.0,80.0,Juventus,94.0,81.0,35.0,90.0,93.0,79.0,Juventus,93.0,82.0,35.0,90.0,93.0,78.0
2,9014,FC Bayern München,90.0,83.0,32.0,93.0,86.0,64.0,FC Bayern München,90.0,82.0,32.0,92.0,86.0,64.0,FC Bayern München,87.0,81.0,32.0,86.0,85.0,62.0,FC Bayern München,88.0,81.0,32.0,86.0,86.0,63.0,FC Bayern München,85.0,81.0,32.0,79.0,85.0,62.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,41236,Paris Saint-Germain,90.0,81.0,34.0,76.0,91.0,86.0,Paris Saint-Germain,89.0,81.0,31.0,73.0,90.0,86.0,Manchester United,90.0,81.0,31.0,72.0,90.0,86.0,Manchester United,88.0,81.0,32.0,65.0,88.0,82.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,176580,FC Barcelona,89.0,79.0,42.0,83.0,87.0,79.0,FC Barcelona,90.0,79.0,42.0,83.0,88.0,79.0,FC Barcelona,92.0,79.0,42.0,82.0,90.0,79.0,FC Barcelona,92.0,79.0,42.0,82.0,90.0,81.0,FC Barcelona,91.0,79.0,52.0,80.0,90.0,85.0,FC Barcelona,89.0,80.0,51.0,73.0,89.0,84.0
5,183277,Chelsea,88.0,84.0,32.0,90.0,82.0,64.0,Chelsea,89.0,84.0,32.0,90.0,82.0,64.0,Chelsea,88.0,82.0,32.0,90.0,81.0,64.0,Chelsea,90.0,84.0,32.0,90.0,82.0,66.0,Chelsea,91.0,86.0,35.0,91.0,82.0,67.0,Real Madrid,91.0,86.0,35.0,91.0,83.0,66.0
6,7826,Manchester United,88.0,82.0,33.0,74.0,90.0,68.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,121944,FC Bayern München,88.0,85.0,78.0,61.0,81.0,80.0,Manchester United,86.0,85.0,77.0,52.0,79.0,78.0,Manchester United,83.0,83.0,75.0,51.0,76.0,74.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,156616,FC Bayern München,88.0,85.0,29.0,89.0,78.0,62.0,FC Bayern München,87.0,84.0,25.0,87.0,77.0,59.0,FC Bayern München,86.0,83.0,25.0,82.0,76.0,59.0,FC Bayern München,86.0,83.0,25.0,82.0,76.0,58.0,FC Bayern München,85.0,82.0,30.0,78.0,76.0,57.0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,167397,Manchester United,88.0,64.0,40.0,77.0,86.0,73.0,Chelsea,83.0,64.0,37.0,72.0,82.0,73.0,AS Monaco,81.0,64.0,37.0,71.0,80.0,72.0,AS Monaco,84.0,68.0,37.0,69.0,84.0,74.0,AS Monaco,85.0,69.0,43.0,67.0,84.0,74.0,AS Monaco,83.0,69.0,43.0,65.0,82.0,72.0
